iter	Passed	Remaining
0	23	2372
1	46	2272
2	71	2320
3	96	2310
4	118	2243
5	144	2257
6	177	2357
7	206	2377
8	232	2353
9	256	2307
10	281	2276
11	304	2232
12	330	2214
13	355	2181
14	379	2151
15	404	2122
16	429	2098
17	453	2067
18	478	2039
19	502	2009
20	528	1986
21	551	1956
22	577	1934
23	601	1905
24	628	1884
25	652	1856
26	677	1832
27	701	1805
28	729	1785
29	753	1757
30	782	1742
31	809	1719
32	834	1694
33	859	1669
34	885	1644
35	910	1619
36	942	1604
37	970	1583
38	1000	1565
39	1029	1544
40	1058	1523
41	1085	1499
42	1112	1474
43	1137	1447
44	1161	1420
45	1186	1392
46	1211	1366
47	1236	1339
48	1261	1312
49	1286	1286
50	1313	1261
51	1342	1239
52	1371	1216
53	1401	1194
54	1433	1172
55	1460	1147
56	1489	1123
57	1519	1100
58	1549	1076
59	1575	1050
60	1601	1023
61	1627	997
62	1653	970
63	1677	943
64	1704	917
65	1729	890
66	1756	865
67	1786	840
68	1816	816
69	1845	791
70	1873	765
71	1900	739
72	1929	713
73	1959	688
74	1986	662
75	2012	635
76	2038	608
77	2062	581
78	2091	555
79	2121	530
80	2151	504
81	2179	478
82	2208	452
83	2236	426
84	2263	399
85	2291	373
86	2319	346
87	2347	320
88	2376	293
89	2404	267
90	2433	240
91	2461	214
92	2490	187
93	2519	160
94	2544	133
95	2571	107
96	2597	80
97	2623	53
98	2666	26
99	2690	0
